sketch_size,mean,std,time
1000,0.07532673932607344,0.005200188230050901,11.9532949924469
2000,0.002759010792951504,0.006173969220248127,49.490829944610596
3000,0.0017203649800965697,0.0017727192541706586,73.80346393585205
4000,0.06551556245736416,0.002704590077453869,99.88055276870728
5000,0.017359525717965844,0.001104011189261079,120.88154006004333
