storage_size,mean,std,time
200,0.7710695776740536,0.6065087867011464,0.018601710796356201
400,0.6385259977795746,0.42339776477565255,0.018492040634155273
600,0.4594665249537597,0.33247019728378485,0.01815086841583252
800,0.4189047982891795,0.31938025532332737,0.018122549057006836
1000,0.3474370735566752,0.2839139904596049,0.018493220806121826
